Timestamp,Precipitation (mm),Wind Speed (m/s),Temperature (°C),Thunderstorm (0/1)
2018-01-01 00:00:00,0,0,27.29864297009274,0
2018-01-01 01:00:00,100,5,31.224959862061972,0
2018-01-01 02:00:00,10,0,25.377143699192462,0
2018-01-01 03:00:00,5,2,34.91662205743256,1
2018-01-01 04:00:00,0,0,33.57859357893145,0
2018-01-01 05:00:00,0,2,28.690635058951568,1
2018-01-01 06:00:00,0,2,31.1528678131505,0
2018-01-01 07:00:00,20,5,30.452819779200897,0
2018-01-01 08:00:00,5,0,33.441628364417696,0
2018-01-01 09:00:00,10,2,29.784036158739443,0
2018-01-01 10:00:00,0,0,26.31464732484161,1
2018-01-01 11:00:00,100,0,29.802464317145883,0
2018-01-01 12:00:00,20,0,26.183539575133516,0
2018-01-01 13:00:00,0,15,33.076118113975376,1
2018-01-01 14:00:00,0,10,26.663034727690366,0
2018-01-01 15:00:00,0,0,28.691884017639612,0
2018-01-01 16:00:00,0,10,26.05984716903277,0
2018-01-01 17:00:00,5,10,28.785828739113068,0
2018-01-01 18:00:00,0,0,34.633359277430344,0
2018-01-01 19:00:00,0,2,34.29624081799806,0
2018-01-01 20:00:00,5,10,30.632282078720504,1
2018-01-01 21:00:00,0,2,31.383230924784602,0
2018-01-01 22:00:00,0,0,28.521060439102726,0
2018-01-01 23:00:00,0,2,27.104634379592223,0
2018-01-02 00:00:00,0,0,27.780784200257372,0
2018-01-02 01:00:00,10,0,25.79253853320222,0
2018-01-02 02:00:00,0,5,29.452250733260016,0
2018-01-02 03:00:00,5,0,25.853278337990673,0
2018-01-02 04:00:00,5,5,28.724055089434483,0
2018-01-02 05:00:00,0,0,33.5105712115172,0
2018-01-02 06:00:00,5,0,28.908747511173694,0
2018-01-02 07:00:00,0,2,29.355145632745668,0
2018-01-02 08:00:00,0,5,30.26957374801035,0
2018-01-02 09:00:00,50,10,28.143648940771875,0
2018-01-02 10:00:00,100,5,25.821808725968342,0
2018-01-02 11:00:00,20,2,32.61565444102042,0
2018-01-02 12:00:00,0,0,27.41118461981297,0
2018-01-02 13:00:00,0,2,26.45274376862613,0
2018-01-02 14:00:00,5,0,25.873990000634358,0
2018-01-02 15:00:00,0,0,31.80267237625769,0
2018-01-02 16:00:00,0,0,25.17174415145667,0
2018-01-02 17:00:00,0,0,30.934191604317423,1
2018-01-02 18:00:00,0,0,28.48409566112908,0
2018-01-02 19:00:00,50,0,30.068400321570437,0
2018-01-02 20:00:00,0,0,34.07381084231963,1
2018-01-02 21:00:00,5,0,25.007393363560126,0
2018-01-02 22:00:00,0,0,31.35196472301557,0
2018-01-02 23:00:00,5,0,33.93722747349436,0
2018-01-03 00:00:00,5,0,27.443998898886793,0
2018-01-03 01:00:00,0,0,26.163885492998084,0
2018-01-03 02:00:00,100,0,28.895176587196524,0
2018-01-03 03:00:00,10,0,34.511738941794654,0
2018-01-03 04:00:00,50,10,30.83599915998748,0
2018-01-03 05:00:00,20,0,34.47027406337289,1
2018-01-03 06:00:00,5,2,27.703150300929245,0
2018-01-03 07:00:00,50,0,32.21290672726832,0
2018-01-03 08:00:00,0,0,27.752116381075012,1
2018-01-03 09:00:00,0,0,30.15976173310219,0
2018-01-03 10:00:00,0,0,34.04380233080674,0
2018-01-03 11:00:00,0,0,25.881992329919974,0
2018-01-03 12:00:00,0,5,27.960206174040582,0
2018-01-03 13:00:00,0,5,28.54617111302296,0
2018-01-03 14:00:00,20,0,25.584598995196657,0
2018-01-03 15:00:00,0,0,27.370027157396322,1
2018-01-03 16:00:00,0,0,25.6298255254809,0
2018-01-03 17:00:00,5,0,27.94366176448414,0
2018-01-03 18:00:00,0,5,25.278362432162428,0
2018-01-03 19:00:00,20,30,25.386426680141028,0
2018-01-03 20:00:00,0,0,27.349279653986898,0
2018-01-03 21:00:00,100,5,28.787856198274998,0
2018-01-03 22:00:00,10,2,28.983162704685324,0
2018-01-03 23:00:00,0,2,28.508736145011337,0
